,index,Unnamed: 0,cd_name,cd_number,borough,pop_2000,pop_2010,pop_estimate_acs,pop_change_00_10,pop_pct_female_under_5,pop_pct_female_5_9,pop_pct_female_10_14,pop_pct_female_15_19,pop_pct_female_20_24,pop_pct_female_25_29,pop_pct_female_30_34,pop_pct_female_35_39,pop_pct_female_40_44,pop_pct_female_45_49,pop_pct_female_50_54,pop_pct_female_55_59,pop_pct_female_60_64,pop_pct_female_65_69,pop_pct_female_70_74,pop_pct_female_75_79,pop_pct_female_80_84,pop_pct_female_85_over,pop_pct_male_under_5,pop_pct_male_5_9,pop_pct_male_10_14,pop_pct_male_15_19,pop_pct_male_20_24,pop_pct_male_25_29,pop_pct_male_30_34,pop_pct_male_35_39,pop_pct_male_40_44,pop_pct_male_45_49,pop_pct_male_50_54,pop_pct_male_55_59,pop_pct_male_60_64,pop_pct_male_65_69,pop_pct_male_70_74,pop_pct_male_75_79,pop_pct_male_80_84,pop_pct_male_85_over,under18_rate,moe_under18_rate,over65_rate,moe_over65_rate,pop_nrml,DropOffAllocation,pop_per_drop
35,4,4,Bronx Community District 4,204,Bronx,139563,146441,161994,0.05,3.5,4.1,4.3,3.7,3.9,4.2,3.9,3.5,3.7,3.4,3.7,3.0,2.5,1.9,1.6,1.0,0.7,0.8,3.5,3.7,3.7,4.1,4.1,3.9,3.5,3.0,3.0,3.0,2.8,2.7,2.0,1.3,0.9,0.6,0.4,0.3,27.7,1.0,9.7,0.5,149513.09854943742,3.0,49837.69951647914
36,37,37,Manhattan Community District 8,108,Manhattan,217063,219920,215449,0.01,2.4,2.3,1.6,1.1,2.3,7.0,6.9,4.2,3.2,3.3,3.3,3.0,2.9,3.5,3.0,2.5,1.6,1.8,2.9,1.9,1.8,1.3,1.5,3.6,4.7,3.9,2.8,3.0,3.0,2.7,2.5,2.4,1.9,1.6,1.2,1.4,14.6,0.9,20.8,0.7,198849.6337480261,4.0,49712.408437006525
37,11,11,Bronx Community District 12,212,Bronx,149077,152344,213735,0.02,3.0,2.8,3.0,3.5,3.9,4.7,3.4,3.5,3.2,3.9,3.8,3.8,3.4,2.5,2.2,2.0,1.1,1.3,3.0,3.2,3.2,3.0,3.7,3.5,2.4,2.6,3.4,2.8,3.0,2.8,2.7,2.0,1.4,1.1,0.8,0.5,22.0,0.9,14.9,0.6,197267.68965803675,4.0,49316.92241450919
38,35,35,Manhattan Community District 6,106,Manhattan,136152,142745,159623,0.05,1.8,1.2,0.9,2.1,4.8,8.4,5.5,3.7,3.1,2.5,3.0,2.6,3.2,2.9,2.8,1.8,1.3,1.6,1.9,1.0,1.0,1.2,4.0,7.1,5.7,3.9,2.7,3.0,2.4,2.9,2.2,2.5,1.8,1.3,1.1,1.0,9.0,0.9,18.0,0.8,147324.77332343697,3.0,49108.25777447899
39,36,36,Manhattan Community District 7,107,Manhattan,207699,209084,212034,0.01,2.6,2.3,2.1,1.5,2.6,4.7,5.2,4.0,4.0,3.4,3.5,3.5,3.6,3.8,3.2,1.8,1.3,1.9,2.8,1.8,1.8,1.4,1.4,4.1,4.3,3.4,3.2,3.3,3.3,2.7,3.0,2.7,2.3,1.1,0.9,1.3,15.2,0.8,20.4,0.7,195697.74397713132,4.0,48924.43599428283
40,41,41,Manhattan Community District 12,112,Manhattan,208414,190020,208994,-0.09,2.6,2.3,2.1,2.4,3.6,5.6,4.8,3.7,3.0,3.2,3.0,3.1,3.1,2.5,2.0,1.6,1.0,1.6,2.7,2.4,2.4,2.3,3.9,6.1,5.2,4.0,3.3,3.1,2.9,2.8,2.3,2.0,1.3,1.0,0.7,0.6,17.1,0.8,14.2,0.5,192891.96216058076,4.0,48222.99054014519
41,54,54,Queens Community District 13,413,Queens,196284,188593,208220,-0.04,3.0,2.6,2.6,2.8,3.2,3.8,3.3,3.2,3.2,3.7,4.2,4.0,3.7,2.9,2.3,1.7,1.3,1.5,2.9,2.7,2.7,2.7,3.4,3.5,3.4,3.0,2.8,3.0,3.4,3.4,3.1,2.2,2.1,1.2,0.7,0.6,19.9,0.7,16.6,0.4,192177.59534281428,4.0,48044.39883570357
42,48,48,Queens Community District 7,407,Queens,242952,247354,259477,0.02,2.7,2.3,2.3,1.9,2.9,3.8,3.5,3.2,3.5,3.9,4.1,3.9,3.5,3.0,2.2,2.1,1.6,2.0,3.1,2.2,2.4,2.2,2.4,3.5,3.3,3.2,3.2,3.5,3.9,3.4,3.1,2.6,2.1,1.5,1.2,1.0,17.6,0.6,19.2,0.5,239485.47645167334,5.0,47897.09529033467
43,22,22,Brooklyn Community District 11,311,Brooklyn,172129,181981,207025,0.06,3.7,2.8,2.5,2.4,2.8,3.8,3.8,3.5,3.6,3.4,3.5,3.3,3.1,2.6,1.7,1.4,1.4,1.7,3.5,3.2,3.1,2.5,3.0,4.0,3.9,3.6,3.4,3.2,3.4,3.3,2.8,2.3,1.3,1.2,0.9,0.9,21.8,0.7,15.3,0.4,191074.66466163733,4.0,47768.66616540933
44,32,32,Manhattan Community District 3,103,Manhattan,164407,163277,154995,-0.01,1.5,1.2,1.5,2.9,4.2,6.4,4.1,3.2,3.0,3.2,2.8,3.3,3.4,2.9,2.1,1.6,1.6,2.1,1.5,1.6,1.8,2.5,3.7,6.2,5.6,3.9,2.9,3.3,3.0,2.8,2.5,2.3,2.0,1.3,1.0,1.0,11.4,0.8,17.9,0.7,143053.3396895567,3.0,47684.44656318557
